periode_data,bulan,tanggal,stasiun,karbon_monoksida
202406,6,22,DKI5  Kebon Jeruk  Jakarta Barat,22
202406,6,23,DKI5  Kebon Jeruk  Jakarta Barat,21
202406,6,24,DKI5  Kebon Jeruk  Jakarta Barat,22
202406,6,25,DKI5  Kebon Jeruk  Jakarta Barat,21
202406,6,26,DKI5  Kebon Jeruk  Jakarta Barat,29
202406,6,27,DKI5  Kebon Jeruk  Jakarta Barat,18
202406,6,28,DKI5  Kebon Jeruk  Jakarta Barat,24
202406,6,29,DKI5  Kebon Jeruk  Jakarta Barat,30
202406,6,3,DKI5  Kebon Jeruk  Jakarta Barat,18
202406,6,30,DKI5  Kebon Jeruk  Jakarta Barat,22
202406,6,4,DKI5  Kebon Jeruk  Jakarta Barat,28
202406,6,5,DKI5  Kebon Jeruk  Jakarta Barat,31
202406,6,6,DKI5  Kebon Jeruk  Jakarta Barat,18
202406,6,7,DKI5  Kebon Jeruk  Jakarta Barat,21
202406,6,8,DKI5  Kebon Jeruk  Jakarta Barat,24
202406,6,9,DKI5  Kebon Jeruk  Jakarta Barat,20
202407,7,1,DKI5  Kebon Jeruk  Jakarta Barat,21
202407,7,10,DKI5  Kebon Jeruk  Jakarta Barat,18
202407,7,11,DKI5  Kebon Jeruk  Jakarta Barat,27
202407,7,12,DKI5  Kebon Jeruk  Jakarta Barat,22
202407,7,13,DKI5  Kebon Jeruk  Jakarta Barat,29
202407,7,14,DKI5  Kebon Jeruk  Jakarta Barat,25
202407,7,15,DKI5  Kebon Jeruk  Jakarta Barat,22
202407,7,16,DKI5  Kebon Jeruk  Jakarta Barat,24
202407,7,17,DKI5  Kebon Jeruk  Jakarta Barat,25
202407,7,18,DKI5  Kebon Jeruk  Jakarta Barat,20
202407,7,19,DKI5  Kebon Jeruk  Jakarta Barat,20
202407,7,2,DKI5  Kebon Jeruk  Jakarta Barat,19
202407,7,20,DKI5  Kebon Jeruk  Jakarta Barat,19
202407,7,21,DKI5  Kebon Jeruk  Jakarta Barat,18
202407,7,22,DKI5  Kebon Jeruk  Jakarta Barat,18
202407,7,23,DKI5  Kebon Jeruk  Jakarta Barat,18
202407,7,24,DKI5  Kebon Jeruk  Jakarta Barat,19
202407,7,25,DKI5  Kebon Jeruk  Jakarta Barat,19
202407,7,26,DKI5  Kebon Jeruk  Jakarta Barat,20
202407,7,27,DKI5  Kebon Jeruk  Jakarta Barat,19
202407,7,28,DKI5  Kebon Jeruk  Jakarta Barat,20
202407,7,29,DKI5  Kebon Jeruk  Jakarta Barat,20
202407,7,3,DKI5  Kebon Jeruk  Jakarta Barat,33
202407,7,30,DKI5  Kebon Jeruk  Jakarta Barat,21
202407,7,31,DKI5  Kebon Jeruk  Jakarta Barat,22
202407,7,4,DKI5  Kebon Jeruk  Jakarta Barat,29
202407,7,5,DKI5  Kebon Jeruk  Jakarta Barat,24
202407,7,6,DKI5  Kebon Jeruk  Jakarta Barat,20
202407,7,7,DKI5  Kebon Jeruk  Jakarta Barat,24
202407,7,8,DKI5  Kebon Jeruk  Jakarta Barat,22
202407,7,9,DKI5  Kebon Jeruk  Jakarta Barat,22
202408,8,1,DKI5  Kebon Jeruk  Jakarta Barat,20
202408,8,10,DKI5  Kebon Jeruk  Jakarta Barat,18
202408,8,11,DKI5  Kebon Jeruk  Jakarta Barat,17
202408,8,12,DKI5  Kebon Jeruk  Jakarta Barat,18
202408,8,13,DKI5  Kebon Jeruk  Jakarta Barat,23
202408,8,14,DKI5  Kebon Jeruk  Jakarta Barat,22
202408,8,15,DKI5  Kebon Jeruk  Jakarta Barat,21
202408,8,16,DKI5  Kebon Jeruk  Jakarta Barat,22
202408,8,17,DKI5  Kebon Jeruk  Jakarta Barat,22
202408,8,18,DKI5  Kebon Jeruk  Jakarta Barat,21
202408,8,19,DKI5  Kebon Jeruk  Jakarta Barat,19
202408,8,2,DKI5  Kebon Jeruk  Jakarta Barat,21
202408,8,20,DKI5  Kebon Jeruk  Jakarta Barat,22
202408,8,21,DKI5  Kebon Jeruk  Jakarta Barat,21
202408,8,22,DKI5  Kebon Jeruk  Jakarta Barat,18
202408,8,23,DKI5  Kebon Jeruk  Jakarta Barat,17
202408,8,24,DKI5  Kebon Jeruk  Jakarta Barat,19
202408,8,25,DKI5  Kebon Jeruk  Jakarta Barat,18
202408,8,26,DKI5  Kebon Jeruk  Jakarta Barat,21
202408,8,27,DKI5  Kebon Jeruk  Jakarta Barat,22
202408,8,28,DKI5  Kebon Jeruk  Jakarta Barat,20
202408,8,29,DKI5  Kebon Jeruk  Jakarta Barat,20
202408,8,3,DKI5  Kebon Jeruk  Jakarta Barat,21
202408,8,30,DKI5  Kebon Jeruk  Jakarta Barat,23
202408,8,31,DKI5  Kebon Jeruk  Jakarta Barat,18
202408,8,4,DKI5  Kebon Jeruk  Jakarta Barat,26
202408,8,5,DKI5  Kebon Jeruk  Jakarta Barat,19
202408,8,6,DKI5  Kebon Jeruk  Jakarta Barat,19
202408,8,7,DKI5  Kebon Jeruk  Jakarta Barat,20
202408,8,8,DKI5  Kebon Jeruk  Jakarta Barat,24
202408,8,9,DKI5  Kebon Jeruk  Jakarta Barat,20
202409,9,1,DKI5  Kebon Jeruk  Jakarta Barat,20
202409,9,10,DKI5  Kebon Jeruk  Jakarta Barat,24
202409,9,11,DKI5  Kebon Jeruk  Jakarta Barat,19
202409,9,12,DKI5  Kebon Jeruk  Jakarta Barat,20
202409,9,13,DKI5  Kebon Jeruk  Jakarta Barat,21
202409,9,14,DKI5  Kebon Jeruk  Jakarta Barat,19
202409,9,15,DKI5  Kebon Jeruk  Jakarta Barat,20
202409,9,16,DKI5  Kebon Jeruk  Jakarta Barat,20
202409,9,17,DKI5  Kebon Jeruk  Jakarta Barat,19
202409,9,18,DKI5  Kebon Jeruk  Jakarta Barat,18
202409,9,19,DKI5  Kebon Jeruk  Jakarta Barat,19
202409,9,2,DKI5  Kebon Jeruk  Jakarta Barat,17
202409,9,20,DKI5  Kebon Jeruk  Jakarta Barat,20
202409,9,21,DKI5  Kebon Jeruk  Jakarta Barat,19
202409,9,22,DKI5  Kebon Jeruk  Jakarta Barat,20
202409,9,23,DKI5  Kebon Jeruk  Jakarta Barat,19
202409,9,24,DKI5  Kebon Jeruk  Jakarta Barat,21
202409,9,25,DKI5  Kebon Jeruk  Jakarta Barat,28
202409,9,26,DKI5  Kebon Jeruk  Jakarta Barat,26
202409,9,27,DKI5  Kebon Jeruk  Jakarta Barat,23
202409,9,28,DKI5  Kebon Jeruk  Jakarta Barat,22
202409,9,29,DKI5  Kebon Jeruk  Jakarta Barat,22
202409,9,3,DKI5  Kebon Jeruk  Jakarta Barat,20
202409,9,30,DKI5  Kebon Jeruk  Jakarta Barat,20
202409,9,4,DKI5  Kebon Jeruk  Jakarta Barat,18
202409,9,5,DKI5  Kebon Jeruk  Jakarta Barat,18
202409,9,6,DKI5  Kebon Jeruk  Jakarta Barat,20
202409,9,7,DKI5  Kebon Jeruk  Jakarta Barat,17
202409,9,8,DKI5  Kebon Jeruk  Jakarta Barat,18
202409,9,9,DKI5  Kebon Jeruk  Jakarta Barat,17
202410,10,1,DKI5  Kebon Jeruk  Jakarta Barat,22
202410,10,10,DKI5  Kebon Jeruk  Jakarta Barat,20
202410,10,11,DKI5  Kebon Jeruk  Jakarta Barat,23
202410,10,12,DKI5  Kebon Jeruk  Jakarta Barat,20
202410,10,13,DKI5  Kebon Jeruk  Jakarta Barat,21
202410,10,14,DKI5  Kebon Jeruk  Jakarta Barat,22
202410,10,15,DKI5  Kebon Jeruk  Jakarta Barat,19
202410,10,16,DKI5  Kebon Jeruk  Jakarta Barat,22
202410,10,17,DKI5  Kebon Jeruk  Jakarta Barat,20
202410,10,18,DKI5  Kebon Jeruk  Jakarta Barat,19
202410,10,19,DKI5  Kebon Jeruk  Jakarta Barat,21
202410,10,2,DKI5  Kebon Jeruk  Jakarta Barat,20
202410,10,20,DKI5  Kebon Jeruk  Jakarta Barat,18
202410,10,21,DKI5  Kebon Jeruk  Jakarta Barat,19
202410,10,22,DKI5  Kebon Jeruk  Jakarta Barat,21
202410,10,23,DKI5  Kebon Jeruk  Jakarta Barat,19
202410,10,24,DKI5  Kebon Jeruk  Jakarta Barat,17
202410,10,25,DKI5  Kebon Jeruk  Jakarta Barat,20
202410,10,26,DKI5  Kebon Jeruk  Jakarta Barat,21
202410,10,27,DKI5  Kebon Jeruk  Jakarta Barat,17
